date,breakfast_footfall_pct
2024-01-01,0.0
2024-01-02,73.75
2024-01-03,80.56
2024-01-04,77.76
2024-01-05,49.48
2024-01-06,0.0
2024-01-07,0.0
2024-01-08,62.38
2024-01-09,77.55
2024-01-10,77.58
2024-01-11,82.15
2024-01-12,57.0
2024-01-13,0.0
2024-01-14,0.0
2024-01-15,66.22
2024-01-16,77.09
2024-01-17,83.38
2024-01-18,76.47
2024-01-19,45.22
2024-01-20,0.0
2024-01-21,0.0
2024-01-22,65.09
2024-01-23,75.05
2024-01-24,77.36
2024-01-25,28.3
2024-01-26,0.0
2024-01-27,0.0
2024-01-28,0.0
2024-01-29,59.95
2024-01-30,76.86
2024-01-31,82.58
2024-02-01,81.59
2024-02-02,51.91
2024-02-03,0.0
2024-02-04,0.0
2024-02-05,65.03
2024-02-06,75.94
2024-02-07,79.32
2024-02-08,75.13
2024-02-09,52.47
2024-02-10,0.0
2024-02-11,0.0
2024-02-12,62.52
2024-02-13,75.39
2024-02-14,84.19
2024-02-15,76.78
2024-02-16,51.75
2024-02-17,0.0
2024-02-18,0.0
2024-02-19,63.8
2024-02-20,73.7
2024-02-21,80.79
2024-02-22,81.83
2024-02-23,51.65
2024-02-24,0.0
2024-02-25,0.0
2024-02-26,67.04
2024-02-27,77.41
2024-02-28,90.0
2024-02-29,76.72
2024-03-01,50.4
2024-03-02,0.0
2024-03-03,0.0
2024-03-04,65.36
2024-03-05,75.73
2024-03-06,87.06
2024-03-07,84.81
2024-03-08,51.53
2024-03-09,0.0
2024-03-10,0.0
2024-03-11,64.08
2024-03-12,75.52
2024-03-13,82.11
2024-03-14,84.38
2024-03-15,50.9
2024-03-16,0.0
2024-03-17,0.0
2024-03-18,64.37
2024-03-19,80.91
2024-03-20,87.36
2024-03-21,83.06
2024-03-22,21.19
2024-03-23,0.0
2024-03-24,0.0
2024-03-25,0.0
2024-03-26,83.27
2024-03-27,84.72
2024-03-28,34.02
2024-03-29,0.0
2024-03-30,0.0
2024-03-31,0.0
2024-04-01,67.34
2024-04-02,78.87
2024-04-03,83.25
2024-04-04,85.81
2024-04-05,50.69
2024-04-06,0.0
2024-04-07,0.0
2024-04-08,13.13
2024-04-09,0.0
2024-04-10,85.18
2024-04-11,81.3
2024-04-12,50.7
2024-04-13,0.0
2024-04-14,0.0
2024-04-15,66.74
2024-04-16,79.11
2024-04-17,84.82
2024-04-18,76.9
2024-04-19,48.93
2024-04-20,0.0
2024-04-21,0.0
2024-04-22,69.31
2024-04-23,79.51
2024-04-24,79.72
2024-04-25,79.47
2024-04-26,48.8
2024-04-27,0.0
2024-04-28,0.0
2024-04-29,65.8
2024-04-30,78.39
2024-05-01,0.0
2024-05-02,80.59
2024-05-03,51.49
2024-05-04,0.0
2024-05-05,0.0
2024-05-06,66.81
2024-05-07,78.86
2024-05-08,82.69
2024-05-09,81.23
2024-05-10,52.4
2024-05-11,0.0
2024-05-12,0.0
2024-05-13,65.5
2024-05-14,81.63
2024-05-15,81.14
2024-05-16,80.27
2024-05-17,53.57
2024-05-18,0.0
2024-05-19,0.0
2024-05-20,63.35
2024-05-21,83.3
2024-05-22,88.04
2024-05-23,86.13
2024-05-24,49.1
2024-05-25,0.0
2024-05-26,0.0
2024-05-27,65.73
2024-05-28,78.23
2024-05-29,86.73
2024-05-30,86.98
2024-05-31,53.84
2024-06-01,0.0
2024-06-02,0.0
2024-06-03,63.03
2024-06-04,75.51
2024-06-05,82.76
2024-06-06,75.9
2024-06-07,50.95
2024-06-08,0.0
2024-06-09,0.0
2024-06-10,60.53
2024-06-11,78.17
2024-06-12,80.57
2024-06-13,78.16
2024-06-14,47.11
2024-06-15,0.0
2024-06-16,0.0
2024-06-17,62.04
2024-06-18,78.0
2024-06-19,83.82
2024-06-20,80.62
2024-06-21,53.18
2024-06-22,0.0
2024-06-23,0.0
2024-06-24,69.86
2024-06-25,75.63
2024-06-26,80.44
2024-06-27,75.31
2024-06-28,52.71
2024-06-29,0.0
2024-06-30,0.0
2024-07-01,66.51
2024-07-02,74.16
2024-07-03,82.66
2024-07-04,82.49
2024-07-05,50.11
2024-07-06,0.0
2024-07-07,0.0
2024-07-08,7.25
2024-07-09,78.79
2024-07-10,81.47
2024-07-11,75.91
2024-07-12,52.34
2024-07-13,0.0
2024-07-14,0.0
2024-07-15,66.58
2024-07-16,78.48
2024-07-17,7.84
2024-07-18,76.63
2024-07-19,47.48
2024-07-20,0.0
2024-07-21,0.0
2024-07-22,59.95
2024-07-23,78.58
2024-07-24,9.32
2024-07-25,9.82
2024-07-26,52.93
2024-07-27,0.0
2024-07-28,0.0
2024-07-29,64.14
2024-07-30,79.04
2024-07-31,78.66
2024-08-01,79.6
2024-08-02,45.8
2024-08-03,0.0
2024-08-04,0.0
2024-08-05,60.91
2024-08-06,78.88
2024-08-07,80.35
2024-08-08,82.47
2024-08-09,50.95
2024-08-10,0.0
2024-08-11,0.0
2024-08-12,70.38
2024-08-13,76.75
2024-08-14,77.2
2024-08-15,0.0
2024-08-16,13.05
2024-08-17,0.0
2024-08-18,0.0
2024-08-19,60.4
2024-08-20,79.14
2024-08-21,81.12
2024-08-22,78.83
2024-08-23,49.17
2024-08-24,0.0
2024-08-25,0.0
2024-08-26,65.0
2024-08-27,75.28
2024-08-28,83.1
2024-08-29,82.03
2024-08-30,48.57
2024-08-31,0.0
2024-09-01,0.0
2024-09-02,6.55
2024-09-03,74.0
2024-09-04,79.61
2024-09-05,81.12
2024-09-06,49.75
2024-09-07,0.0
2024-09-08,0.0
2024-09-09,64.7
2024-09-10,81.26
2024-09-11,81.62
2024-09-12,77.01
2024-09-13,52.35
2024-09-14,0.0
2024-09-15,0.0
2024-09-16,16.88
2024-09-17,0.0
2024-09-18,83.36
2024-09-19,82.08
2024-09-20,46.91
2024-09-21,0.0
